,num_blocks,blocks_per_window,time
0,5.0,1.0,18.0016987323761
1,5.0,5.0,4.320370197296143
2,5.0,10.0,4.194768905639648
3,5.0,12.0,4.298238039016724
4,5.0,15.0,5.204680919647217
5,5.0,50.0,4.336575269699097
6,5.0,100.0,4.364282131195068
7,5.0,1000.0,4.380967140197754
8,5.0,10000.0,4.403215169906616
9,6.0,1.0,17.88484835624695
10,6.0,5.0,5.8415117263793945
11,6.0,10.0,5.705090045928955
12,6.0,12.0,5.969111919403076
13,6.0,15.0,3.9544918537139893
14,6.0,50.0,4.442873954772949
15,6.0,100.0,4.134804010391235
16,6.0,1000.0,3.9955320358276367
17,6.0,10000.0,4.108438968658447
18,7.0,1.0,16.919543266296387
19,7.0,5.0,5.145298957824707
20,7.0,10.0,3.9392290115356445
21,7.0,12.0,3.8506410121917725
22,7.0,15.0,4.262051105499268
23,7.0,50.0,4.014899969100952
24,7.0,100.0,3.8900859355926514
25,7.0,1000.0,3.9126179218292236
26,7.0,10000.0,3.8315389156341553
27,8.0,1.0,18.15530300140381
28,8.0,5.0,5.979785919189453
29,8.0,10.0,4.227694034576416
30,8.0,12.0,4.171799898147583
31,8.0,15.0,4.0075860023498535
32,8.0,50.0,4.217056035995483
33,8.0,100.0,4.443541049957275
34,8.0,1000.0,4.582160234451294
35,8.0,10000.0,4.479159116744995
36,9.0,1.0,17.505615711212158
37,9.0,5.0,4.176659107208252
38,9.0,10.0,4.015300035476685
39,9.0,12.0,3.9005508422851562
40,9.0,15.0,4.295762062072754
41,9.0,50.0,3.9561848640441895
42,9.0,100.0,3.882479190826416
43,9.0,1000.0,3.9169797897338867
44,9.0,10000.0,3.8241121768951416
45,10.0,1.0,16.977138996124268
46,10.0,5.0,4.0703277587890625
47,10.0,10.0,3.552042007446289
48,10.0,12.0,3.6899282932281494
49,10.0,15.0,3.7410528659820557
50,10.0,50.0,3.809979200363159
51,10.0,100.0,4.0107691287994385
52,10.0,1000.0,3.7335400581359863
53,10.0,10000.0,3.812830924987793
54,11.0,1.0,17.24168300628662
55,11.0,5.0,5.145711183547974
56,11.0,10.0,3.922136068344116
57,11.0,12.0,3.720759153366089
58,11.0,15.0,3.712879180908203
59,11.0,50.0,3.6862852573394775
60,11.0,100.0,3.8364338874816895
61,11.0,1000.0,3.77189302444458
62,11.0,10000.0,3.7284839153289795
63,12.0,1.0,17.331397771835327
64,12.0,5.0,4.6661601066589355
65,12.0,10.0,3.672408103942871
66,12.0,12.0,3.6546542644500732
67,12.0,15.0,3.7839889526367188
68,12.0,50.0,3.6488330364227295
69,12.0,100.0,3.7034389972686768
70,12.0,1000.0,4.004967212677002
71,12.0,10000.0,3.924445867538452
72,13.0,1.0,17.06419610977173
73,13.0,5.0,4.503925085067749
74,13.0,10.0,3.7528538703918457
75,13.0,12.0,4.104316234588623
76,13.0,15.0,4.795973062515259
77,13.0,50.0,4.582878828048706
78,13.0,100.0,4.589579105377197
79,13.0,1000.0,4.582581996917725
80,13.0,10000.0,4.5122740268707275
81,14.0,1.0,17.139240980148315
82,14.0,5.0,4.324097156524658
83,14.0,10.0,3.6340651512145996
84,14.0,12.0,3.9427709579467773
85,14.0,15.0,4.459982633590698
86,14.0,50.0,4.2308409214019775
87,14.0,100.0,4.243311166763306
88,14.0,1000.0,4.410921096801758
89,14.0,10000.0,4.298647165298462
90,15.0,1.0,16.890029907226562
91,15.0,5.0,4.00439715385437
92,15.0,10.0,3.5329511165618896
93,15.0,12.0,3.864175796508789
94,15.0,15.0,4.257587909698486
95,15.0,50.0,5.295389175415039
96,15.0,100.0,4.462174892425537
97,15.0,1000.0,4.141825914382935
98,15.0,10000.0,5.00170111656189
99,20.0,1.0,19.726958751678467
100,20.0,5.0,5.501452207565308
101,20.0,10.0,4.255733013153076
102,20.0,12.0,5.501240968704224
103,20.0,15.0,4.672068119049072
104,20.0,50.0,4.2999067306518555
105,20.0,100.0,5.219262361526489
106,20.0,1000.0,4.313958168029785
107,20.0,10000.0,4.431720018386841
108,30.0,1.0,21.290653944015503
109,30.0,5.0,6.119963884353638
110,30.0,10.0,5.500051975250244
111,30.0,12.0,4.684360980987549
112,30.0,15.0,5.705739974975586
113,30.0,50.0,4.728533983230591
114,30.0,100.0,4.421607971191406
115,30.0,1000.0,5.3972389698028564
116,30.0,10000.0,4.482522964477539
117,40.0,1.0,21.109755039215088
118,40.0,5.0,6.544969320297241
119,40.0,10.0,5.353940963745117
120,40.0,12.0,4.884561777114868
121,40.0,15.0,6.629715204238892
122,40.0,50.0,4.60787296295166
123,40.0,100.0,5.148877143859863
124,40.0,1000.0,5.5210020542144775
125,40.0,10000.0,4.885716915130615
126,50.0,1.0,23.580976009368896
127,50.0,5.0,6.2169740200042725
128,50.0,10.0,5.03926420211792
129,50.0,12.0,4.755839824676514
130,50.0,15.0,6.05339503288269
131,50.0,50.0,4.934915065765381
132,50.0,100.0,4.837851047515869
133,50.0,1000.0,5.063009977340698
134,50.0,10000.0,5.519524097442627
135,100.0,1.0,26.337992906570435
136,100.0,5.0,7.838524103164673
137,100.0,10.0,8.659928798675537
138,100.0,12.0,5.385812997817993
139,100.0,15.0,5.490710020065308
140,100.0,50.0,4.116073846817017
141,100.0,100.0,4.035287141799927
142,100.0,1000.0,3.899648904800415
143,100.0,10000.0,289.4806251525879
